First,Last,Sex,Age,SSN
"Braund","Owen",male,22,221-477-465
"Cumings","John",female,38,457-183-373
"Heikkinen","Laina",female,26,751-128-665
"Futrelle","Jacques",female,35,885-125-221
"Allen","William",male,35,333-123-477
"Moran","James",male,,477-885-463
"McCarthy","Timothy",male,54,452-331-479
"Palsson","Gosta",male,12,333-101-665
"Johnson","Oscar",female,27,991-232-770
"Nasser","Nicholas",female,14,341-503-555
"Sandstrom","Marguerite",female,4,764-334-221
"Bonnell","Elizabeth",female,58,983-523-477
"Saundercock","William",male,20,231-763-885
